"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\App.css", "CSS", 0, 0, 0, 38, 1, 39
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\App.js", "JavaScript", 53, 0, 0, 19, 6, 78
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\App.test.js", "JavaScript", 7, 0, 0, 0, 2, 9
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\Admin\ManageCategory.js", "JavaScript", 331, 0, 0, 1, 14, 346
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\Admin\ManageNews.js", "JavaScript", 332, 0, 0, 2, 12, 346
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\Admin\ManageOrder.js", "JavaScript", 340, 0, 0, 1, 15, 356
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\Admin\ManageProduct.js", "JavaScript", 639, 0, 0, 4, 26, 669
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\Admin\ManageUser.js", "JavaScript", 319, 0, 0, 2, 15, 336
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\Admin\MySideBar.js", "JavaScript", 315, 0, 0, 1, 6, 322
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\AlertModal\AlertModal.js", "JavaScript", 27, 0, 0, 0, 4, 31
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\Banner\Banner.js", "JavaScript", 10, 0, 0, 0, 2, 12
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\BillPage\BillPage.js", "JavaScript", 215, 0, 0, 9, 9, 233
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\ChangePassword\ChangePassword.js", "JavaScript", 153, 0, 0, 0, 5, 158
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\Footer\Footer.js", "JavaScript", 127, 0, 0, 0, 14, 141
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\Header\Header.js", "JavaScript", 377, 0, 0, 3, 20, 400
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\Layout\MainLayout.js", "JavaScript", 7, 0, 0, 0, 2, 9
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\Logo\Logo.js", "JavaScript", 12, 0, 0, 0, 2, 14
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\ModalSignInSignUp\ModalSignInSignUp.js", "JavaScript", 179, 0, 0, 2, 8, 189
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\NewsItem\NewsItem.js", "JavaScript", 51, 0, 0, 2, 5, 58
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\PersonalInfor\PersonalInfor.js", "JavaScript", 206, 0, 0, 0, 3, 209
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\ProductItem\ProductItem.js", "JavaScript", 108, 0, 0, 5, 4, 117
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\components\SignIn\SignIn.js", "JavaScript", 19, 0, 0, 0, 3, 22
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\firebase.js", "JavaScript", 30, 0, 0, 4, 4, 38
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\index.css", "CSS", 0, 0, 24, 0, 5, 29
"d:\Study\4th_semester_1\Project3\quanvanstore-frontend\src\index.js", "JavaScript", 27, 0, 0, 3, 5, 35
